"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"205326_at",1.89775508273364,9.41386021904673,15.8950440332922,4.27824297925782e-30,7.00971237550015e-28,57.9625775277021
"221132_at",2.13926588768614,7.68423578979439,15.8883812930265,4.4170655406084e-30,7.1843409811224e-28,57.9308496820665
"203323_at",2.46410380477234,9.52283907152336,15.8174316108289,6.2081345694939e-30,1.00243378704371e-27,57.5926461678759
"217871_s_at",-1.36643397130612,11.5221092136075,-15.8073860094436,6.51498278891588e-30,1.04441267255693e-27,57.5447101811215
"219371_s_at",1.92435652858867,9.83722269623365,15.7791452556226,7.46180374623885e-30,1.18765266341029e-27,57.409882824418
"63305_at",0.911051950962351,8.07103243353271,15.7288781153128,9.50258775685027e-30,1.50174583677939e-27,57.169652460031
"205303_at",0.916433431461295,8.39725237966355,15.6975481573437,1.10497284523675e-29,1.73395140214158e-27,57.0197662632234
"219230_at",3.57031273310556,8.5036511825514,15.689002085673,1.15141031098832e-29,1.79418713005263e-27,56.9788598187839
"207761_s_at",1.68517177466397,10.1482733731308,15.667603750058,1.27647605127176e-29,1.97525804517282e-27,56.8763954915413
"205507_at",0.926003833981703,7.81265715185981,15.6547374138803,1.3581603454371e-29,2.0871646191293e-27,56.8147588396777
"203813_s_at",0.994064270900775,7.32582437694393,15.6287281687274,1.53969081223111e-29,2.34992673759903e-27,56.6900983636704
"212730_at",1.18989900223997,8.37154485457944,15.608966798998,1.69376117564019e-29,2.55219313270974e-27,56.5953278926746
"208634_s_at",1.29331100574701,11.2847193723645,15.6085492924074,1.69717827743549e-29,2.55219313270974e-27,56.5933251202669
"205632_s_at",1.76377186844441,8.12897816673832,15.6074051642004,1.70657800463919e-29,2.55219313270974e-27,56.587836645894
"209543_s_at",1.04981730078747,8.92288493412149,15.5699362059895,2.04511785272647e-29,3.03809074082027e-27,56.4080062557162
"219821_s_at",0.999488838956722,8.74901092157009,15.5469286237811,2.28567219972924e-29,3.37295586930905e-27,56.2974972020419
"213541_s_at",1.70588698984764,7.67247334308411,15.4852255479867,3.0808670611804e-29,4.51651057396598e-27,56.0008077946167
"205726_at",1.00703754507354,8.42684281209346,15.4504471594511,3.64621188082927e-29,5.31036204839991e-27,55.833376618811
"64064_at",0.97621684910943,10.0740688234673,15.4141205992789,4.34845933847403e-29,6.29199476878031e-27,55.6583349020234
"203835_at",1.14200895084237,9.71377092018692,15.4040695958966,4.56575021973945e-29,6.5637814288035e-27,55.6098751969847
"206953_s_at",1.92297734682196,8.03147379292523,15.3893006127486,4.9049983992552e-29,7.00628713657715e-27,55.538646059773
"219315_s_at",1.56459095403237,8.94841990049533,15.3709723877867,5.36145590784536e-29,7.60951095506485e-27,55.4502142963754
"213069_at",1.51967840385574,9.57599966545794,15.3074515227872,7.30041205937907e-29,1.02958912607053e-26,55.1434179505973
"200650_s_at",-0.903992569539057,12.3147859879439,-15.2720862152038,8.67118839608334e-29,1.21522069830141e-26,54.9723975059802
"37384_at",0.661419617092893,9.33939575785047,15.2569957926849,9.33224709857702e-29,1.29969038810995e-26,54.8993769750045
"203549_s_at",2.38925756755982,9.99902350848598,15.2294768250305,1.06709569687441e-28,1.47690021201568e-26,54.7661458335253
"209613_s_at",3.67846726540922,8.47307994503738,15.2245826460257,1.09285169830072e-28,1.5032107650145e-26,54.7424414765042
"219167_at",1.27334008654715,7.79610676092523,15.1738332476565,1.39971019989108e-28,1.91348112786338e-26,54.4964735634421
"204570_at",1.44603863017593,8.16917957741122,15.165682372453,1.45650629902838e-28,1.97898352812497e-26,54.456939826382
"213715_s_at",1.08951467157389,7.44546891586916,15.1581849164004,1.51079250372551e-28,2.04030238548579e-26,54.4205683138793
"205846_at",1.47618589861788,7.79646357637383,15.1289541357753,1.74258200775598e-28,2.33915390836304e-26,54.2787003664992
"201809_s_at",1.37575250640746,9.16812621748598,15.1148565903038,1.86683059909186e-28,2.49016721766094e-26,54.2102432299348
"203088_at",1.51893968221429,9.37405465176636,15.1136977584011,1.8774316410135e-28,2.49016721766094e-26,54.204614932801
"209763_at",2.00150917850634,7.76004999613084,15.0710082898221,2.31316019456009e-28,3.04994962221198e-26,53.9971662298028
"205382_s_at",2.15852323256017,9.29803302165421,15.0651933016876,2.37990568461149e-28,3.11949637471752e-26,53.9688916249733
"213844_at",1.40245705602885,8.98972077458878,15.0296834097742,2.83164297842249e-28,3.68991230925078e-26,53.796142409434
"204365_s_at",0.666339853057354,8.26645875338318,15.0090310621866,3.13304063232364e-28,4.05892700058533e-26,53.695603726024
"202005_at",-0.974552502690359,8.91859570681308,-15.0031160718146,3.22515954422689e-28,4.15411734820854e-26,53.6667993789359
"218805_at",0.989254627800142,9.803458747,14.9849528512784,3.5253946183978e-28,4.51473380929645e-26,53.5783237300537
"211726_s_at",2.46807456403941,10.293901048729,14.9563359663596,4.0564545744961e-28,5.16514155905695e-26,53.438847762065
"212636_at",1.90306992045954,8.37949053909346,14.9243066237028,4.74680520400905e-28,6.00983297505305e-26,53.28262536885
"202746_at",1.83541811605736,8.35273657004673,14.9133326830884,5.00955206283391e-28,6.30665811390554e-26,53.2290724726423
"212975_at",1.0489771428874,8.64309576457009,14.8767811636897,5.99479072058229e-28,7.50460233858062e-26,53.050598905
"213417_at",1.64800139493702,8.08226744546729,14.8205442627741,7.90451350117785e-28,9.84001532663386e-26,52.7757003129394
"213058_at",0.889893966643562,8.56572406507477,14.8151714222373,8.11629536970301e-28,1.0047522762394e-25,52.7494173442076
"219165_at",1.47907048254222,8.77131415686916,14.7908577927679,9.14825765523184e-28,1.12624654879299e-25,52.6304374218327
"203887_s_at",1.88173908916784,9.2555075846729,14.7871949310729,9.31476385451356e-28,1.14044441192377e-25,52.6125070702163
"206499_s_at",-1.01044086179803,7.99945745918692,-14.7857171754206,9.3827985879546e-28,1.14249672642291e-25,52.6052727551269
"201013_s_at",-1.66910409621464,9.26509329483178,-14.7021564947393,1.41652657187497e-27,1.71545986962446e-25,52.1957916326548
"220003_at",1.17182481039761,8.20773164763551,14.6947883250712,1.46897927173682e-27,1.76936568173576e-25,52.1596458858313
"209529_at",-1.87245344223892,7.47715359665421,-14.6738020607745,1.62932120287177e-27,1.95194432062321e-25,52.0566600845517
"205405_at",1.14992366260275,8.22218681371963,14.6335578191899,1.98767160416191e-27,2.36851798692727e-25,51.859027987982
"203744_at",-2.21619725443737,9.24300718960748,-14.6192420488003,2.13341941907198e-27,2.52866941038196e-25,51.788681048374
"204955_at",1.86618505721569,8.45718019171028,14.6124024942811,2.20679635334995e-27,2.60180122442841e-25,51.755063552544
"222217_s_at",1.12416471356193,8.84251575448598,14.5709223236393,2.70943385796795e-27,3.17759550826842e-25,51.5510673746494
"209710_at",1.35310338959641,7.56804403939252,14.5685412836633,2.74155247874254e-27,3.1984300462733e-25,51.5393516500694
"217771_at",-1.83141413145848,8.19691660485981,-14.5491439401934,3.01787485789386e-27,3.50246382596088e-25,51.4438844515822
"43511_s_at",1.00737031062878,8.89091171474766,14.5262342290163,3.38050273964209e-27,3.90299184183652e-25,51.3310754430122
"213381_at",0.73414569042048,6.51857325100935,14.5218509869603,3.45471970082933e-27,3.96811954090618e-25,51.3094852619853
"204154_at",1.31512775022379,6.7545974876729,14.5098194477461,3.66696011346783e-27,4.19030113889249e-25,51.2502112824513
"202908_at",1.25204716892154,9.31616475613084,14.4954586794458,3.93750934863725e-27,4.4765061640655e-25,51.1794407680751
"205003_at",1.85193360421429,8.75478689448598,14.473589011664,4.38855196540172e-27,4.96396464188053e-25,51.0716212431959
"209539_at",1.03075880443068,9.15477447921495,14.471480171487,4.43469936314402e-27,4.9908285812595e-25,51.0612216058407
"204249_s_at",1.55373852504011,8.45476076149533,14.4451526340781,5.05356776907115e-27,5.6587261607142e-25,50.9313464851536
"205978_at",1.21994969860626,5.64181974675701,14.4189053814156,5.75695027641154e-27,6.41410615046392e-25,50.8017897412913
"218711_s_at",2.25911256811858,7.83227120152336,14.3931907821113,6.54139978567319e-27,7.25184136438586e-25,50.6747871747397
"219656_at",0.851698325792753,8.20163824141122,14.3883688187782,6.70004070822289e-27,7.39094094561043e-25,50.6509635935136
"203548_s_at",2.37120075060803,9.28788879356075,14.3827568976969,6.8895441576719e-27,7.56254741208881e-25,50.6232338398062
"210762_s_at",2.24540195905208,10.255631661028,14.3742400418992,7.18747902520947e-27,7.85091152542856e-25,50.5811434273919
"209481_at",1.21806832529627,9.57643131881308,14.3718480732405,7.27345869638312e-27,7.89145119287804e-25,50.569320828929
"204904_at",0.670138193261084,8.20708499698131,14.3712415970334,7.29542227587343e-27,7.89145119287804e-25,50.5663231443142
"210002_at",1.83654081952006,7.39553717401869,14.3511017520735,8.06389634042724e-27,8.6805701523546e-25,50.4667527971174
"205608_s_at",1.44251727804363,8.19999253531776,14.3366332827892,8.66569572181665e-27,9.28354316198271e-25,50.3951935248223
"219682_s_at",1.55722907598452,7.96180289968224,14.3313620185942,8.89598969781874e-27,9.48465734145909e-25,50.369116707627
"AFFX-HUMGAPDH/M33197_3_at",-0.821678805752991,13.161791117757,-14.3256279925063,9.15348801389377e-27,9.69854725450418e-25,50.3407471091998
"217525_at",1.132374587019,8.34323392031776,14.3249668939409,9.18365332630427e-27,9.69854725450418e-25,50.3374760308879
"204072_s_at",1.94567227709641,8.63239547620561,14.2784493704841,1.15773340924235e-26,1.21687611123336e-24,50.1071882003085
"212353_at",-2.36007949937333,8.74754463738318,-14.2339658073861,1.44510647605742e-26,1.51179847915435e-24,49.8867457995711
"210657_s_at",0.793368187998945,6.26878239349533,14.1861423043032,1.83453388172046e-26,1.91022983581201e-24,49.6495092304665
"221841_s_at",2.21985514451513,9.68345450246729,14.1826294297743,1.86698935520024e-26,1.93498250241521e-24,49.6320731411726
"211237_s_at",0.950309967593948,7.24961583409346,14.1515573171035,2.18038525146423e-26,2.24932984066562e-24,49.4777885785482
"218717_s_at",1.39749865048593,8.58462199304673,14.149248788507,2.20567718473129e-26,2.25729081376352e-24,49.4663216753785
"205554_s_at",1.30496627823505,6.81259200547664,14.1490052560166,2.20836241709126e-26,2.25729081376352e-24,49.465111969061
"205471_s_at",1.44287151354574,6.42436677415888,14.1390171384708,2.3213687801895e-26,2.36196623419921e-24,49.4154921271973
"205433_at",1.65197856742294,6.66769641798131,14.1316686773397,2.40820238639148e-26,2.43221386454216e-24,49.3789788708642
"201292_at",-2.45596293901021,7.38557097898131,-14.1313335584546,2.41223921403679e-26,2.43221386454216e-24,49.377313582028
"218656_s_at",1.64104560238811,9.18951035386916,14.1071117219647,2.72275724284079e-26,2.73293692082078e-24,49.2569169800451
"213456_at",2.29240526332935,7.28662612330841,14.1051431209193,2.74969296172867e-26,2.74759678323766e-24,49.247129093059
"220244_at",1.16863623561682,8.29558603382243,14.1039045352445,2.76677711625932e-26,2.75232564650029e-24,49.2409706282861
"206170_at",1.55968887991379,9.0472304088972,14.0966241924493,2.86937393414881e-26,2.84170041665057e-24,49.204768131605
"217177_s_at",1.07742860449296,6.05574177031776,14.0884220927852,2.9895454229603e-26,2.94761241857629e-24,49.1639752025241
"201231_s_at",-1.07591118475369,11.7753632807477,-14.0791281146551,3.13183539574338e-26,3.07430344155725e-24,49.1177430554268
"200762_at",1.53806125111612,10.8206076495514,14.0495989187725,3.63066442915821e-26,3.54833752083037e-24,48.9707906029376
